Dataset,Model,Accuracy,Precision (weighted),Recall (weighted),F1-Score (weighted),TN,FP,FN,TP
RF_Median_smtk,RandomForestClassifier,0.8775261912808381,0.8862750459109741,0.8775261912808381,0.8818341757011757,12875,983,829,108
RF_Median_smtk,XGBClassifier,0.9167962149374789,0.8847968373681813,0.9167962149374789,0.8995825780108354,13526,332,899,38
RF_Median_smtk,MLPClassifier,0.697803311929706,0.8900240301275416,0.697803311929706,0.7737560114095641,9972,3886,585,352
XG_Mean_smtk,RandomForestClassifier,0.8820547482257519,0.884527052589556,0.8820547482257519,0.883285920940707,12964,894,851,86
XG_Mean_smtk,XGBClassifier,0.9158499493071984,0.8839292402551442,0.9158499493071984,0.8987958920951619,13515,343,902,35
XG_Mean_smtk,MLPClassifier,0.6173707333558635,0.8965637381818892,0.6173707333558635,0.7149392634950182,8639,5219,442,495
RF_Median_tk,RandomForestClassifier,0.929976343359243,0.8889681094751509,0.929976343359243,0.905539722806622,13734,124,912,25
RF_Median_tk,XGBClassifier,0.9363974315647178,0.8773305122455451,0.9363974315647178,0.9059021680773403,13854,4,937,0
RF_Median_tk,MLPClassifier,0.9357215275430889,0.881303973793364,0.9357215275430889,0.9056951042719517,13843,15,936,1
XG_Mean_tk,RandomForestClassifier,0.9291652585332882,0.8874600128895939,0.9291652585332882,0.9048828390111915,13724,134,914,23
XG_Mean_tk,XGBClassifier,0.9360594795539033,0.8831232471482556,0.9360594795539033,0.905864748335098,13848,10,936,1
XG_Mean_tk,MLPClassifier,0.936262250760392,0.8773224877299015,0.936262250760392,0.9058346263858353,13852,6,937,0
RF_Median_SMOTE,RandomForestClassifier,0.8830686042581953,0.8859104024742378,0.8830686042581953,0.8844823196551205,12968,890,840,97
RF_Median_SMOTE,XGBClassifier,0.9184859749915512,0.8853691652964959,0.9184859749915512,0.9005176079791007,13551,307,899,38
RF_Median_SMOTE,MLPClassifier,0.5927678269685704,0.8946474325323415,0.5927678269685704,0.695600114456096,8272,5586,439,498
XG_Mean_SMOTE,RandomForestClassifier,0.8879351132139236,0.8851963348187417,0.8879351132139236,0.8865590623877263,13053,805,853,84
XG_Mean_SMOTE,XGBClassifier,0.917945251774248,0.8847804647803177,0.917945251774248,0.9000385557683521,13545,313,901,36
XG_Mean_SMOTE,MLPClassifier,0.5824940858398108,0.8960409898801226,0.5824940858398108,0.6871880101450863,8098,5760,417,520
SK_smtk,RandomForestClassifier,0.7824940858398107,0.8841425969647655,0.7824940858398107,0.8275472931083088,11380,2478,740,197
SK_smtk,XGBClassifier,0.6725920919229469,0.8904988341798764,0.6725920919229469,0.75610311253621,9569,4289,555,382
SK_smtk,MLPClassifier,0.4790807705305847,0.8962311877635356,0.4790807705305847,0.5960026033348793,6480,7378,329,608
SK_tk,RandomForestClassifier,0.7182156133828996,0.8855040660550312,0.7182156133828996,0.7871064076181651,10345,3513,656,281
SK_tk,XGBClassifier,0.9365326123690436,0.8932268908261921,0.9365326123690436,0.9061021634693117,13855,3,936,1
SK_tk,MLPClassifier,0.9366677931733693,0.8773465547682698,0.9366677931733693,0.906037223173598,13858,0,937,0
SK_SMOTE,RandomForestClassifier,0.7933085501858737,0.8843890831796714,0.7933085501858737,0.8340927598030389,11549,2309,749,188
SK_SMOTE,XGBClassifier,0.6612369043595809,0.8894525521460854,0.6612369043595809,0.7479095814450358,9401,4457,555,382
SK_SMOTE,MLPClassifier,0.4790807705305847,0.8972813609997096,0.4790807705305847,0.5958298862323006,6472,7386,321,616
